City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Min Temp,Feels Like,Wind Speed
Patiya,39,BD,1598655518,94,22.29,91.98,23.99,23.99,27.75,2.09
Fortuna,1,US,1598655518,72,40.6,-124.16,18.33,17.0,12.32,8.7
Bonavista,51,CA,1598655518,79,48.65,-53.11,14.44,14.44,11.91,4.02
Flinders,0,AU,1598655518,77,-34.58,150.86,14.44,11.67,11.64,1.34
Batouri,100,CM,1598655518,96,4.43,14.37,20.35,20.35,22.48,2.03
São Mateus,0,BR,1598655519,90,-18.72,-39.86,21.22,21.22,23.41,1.82
Rawson,58,AR,1598655457,50,-43.3,-65.1,7.76,7.76,-0.33,8.33
Pringsewu,45,ID,1598655490,93,-5.36,104.97,22.46,22.46,25.89,1.27
Sijunjung,98,ID,1598655519,87,-0.69,100.95,22.12,22.12,25.38,0.52
Barentu,97,ER,1598655519,87,15.11,37.59,21.78,21.78,23.43,2.6
Chernyshevskiy,100,RU,1598655519,69,63.01,112.47,11.24,11.24,9.56,1.02
Chicama,8,PE,1598655520,76,-7.84,-79.15,18.12,18.12,16.52,4.01
São Gabriel da Cachoeira,45,BR,1598655520,89,-0.13,-67.09,25.24,25.24,30.22,0.61
Nanortalik,100,GL,1598655520,75,60.14,-45.24,9.93,9.93,2.09,9.8
Urucará,100,BR,1598655520,93,-2.54,-57.76,24.12,24.12,28.62,0.99
Bandarbeyla,24,SO,1598655520,77,9.49,50.81,24.39,24.39,19.36,12.52
Vila do Maio,75,CV,1598655521,88,15.13,-23.22,27.0,27.0,31.5,2.6
Khandyga,0,RU,1598655521,44,62.67,135.6,11.79,11.79,9.54,0.36
Abu Samrah,0,SY,1598655522,67,35.3,37.18,22.81,22.81,23.44,2.13
Oddur,5,SO,1598655522,68,4.12,43.89,22.89,22.89,19.19,8.49
Cavalcante,96,BR,1598655522,33,-13.8,-47.46,22.34,22.34,20.06,1.73
El Ocotito,40,MX,1598655522,74,17.25,-99.57,30.0,30.0,32.76,5.1
Gimli,16,CA,1598655522,99,50.63,-96.99,21.67,18.89,18.08,7.47
Palamós,89,ES,1598655523,50,41.85,3.13,19.44,18.33,12.98,7.58
Sobolevo,0,RU,1598655356,94,54.43,31.9,9.09,9.09,6.81,2.66
Labuhan,9,ID,1598655523,84,-6.88,112.21,24.41,24.41,26.04,4.03
San Miguel de Tucumán,1,AR,1598655468,40,-26.82,-65.22,23.0,23.0,21.23,2.1
Marsh Harbour,71,BS,1598655523,73,26.54,-77.06,29.23,29.23,33.71,1.81
Pitkyaranta,24,RU,1598655523,87,61.57,31.48,10.2,10.2,7.26,3.58
Soe,17,ID,1598655523,64,-9.86,124.28,19.55,19.55,18.56,2.54
Tam Ky,20,VN,1598655523,83,15.57,108.48,27.0,27.0,32.03,1.0
San Quintín,36,MX,1598655524,63,30.48,-115.95,25.16,25.16,23.9,5.56
General Pico,98,AR,1598655335,55,-35.66,-63.76,14.45,14.45,11.4,2.9
Ambon City,40,ID,1598655524,88,-3.7,128.18,26.11,26.0,30.01,2.6
Siguiri,100,GN,1598655524,96,11.67,-9.5,21.61,21.61,24.44,1.9
Visnes,99,NO,1598655524,71,59.36,5.22,14.44,12.78,12.01,2.1
Lüderitz,0,NA,1598655524,80,-26.65,15.16,12.67,12.67,10.9,2.33
Barra de Tecoanapa,11,MX,1598655525,66,16.52,-98.75,29.21,29.21,31.19,4.03
Yārāda,75,IN,1598655525,88,17.65,83.27,28.0,28.0,34.24,1.0
Llangefni,94,GB,1598655525,76,53.26,-4.31,13.89,13.0,8.78,6.2
Vestmanna,56,FO,1598655526,81,62.16,-7.17,8.0,8.0,5.17,2.42
Lebu,92,CL,1598655526,85,-37.62,-73.65,7.45,7.45,-0.1,9.2
Shakawe,29,BW,1598655251,29,-18.37,21.85,21.32,21.32,18.01,2.47
Bilma,40,NE,1598655526,33,18.69,12.92,33.62,33.62,32.9,3.38
Pundaguitan,100,PH,1598655526,78,6.37,126.17,28.35,28.35,30.89,4.8
Mitsamiouli,15,KM,1598655526,78,-11.38,43.28,24.03,24.03,25.06,3.77
Lar,22,IN,1598655527,85,26.2,83.97,25.43,25.43,27.97,3.64
Fort Morgan,40,US,1598655527,36,40.25,-103.8,25.0,25.0,22.58,3.1
Fonte Boa,99,BR,1598655527,95,-2.5,-66.27,23.05,23.05,26.64,1.74
Bara,100,NG,1598655527,91,10.37,10.73,22.97,22.97,26.02,1.93
Alofi,97,NU,1598655527,61,-19.06,-169.92,26.0,26.0,22.66,8.7
Mweka,41,CD,1598655528,82,-4.85,21.57,22.5,22.5,24.97,1.26
Tazovsky,0,RU,1598655528,87,67.47,78.7,10.52,10.52,9.11,1.51
North Platte,20,US,1598655528,40,41.12,-100.77,31.0,26.67,24.27,6.7
Hakkâri Province,0,TR,1598655451,40,37.58,44.17,15.29,15.29,12.45,1.61
Dingle,100,PH,1598655528,85,11.0,122.67,25.84,25.84,30.05,1.58
Geraldton,75,AU,1598655528,87,-28.77,114.6,9.0,9.0,6.82,2.1
Najrān,67,SA,1598655528,23,17.49,44.13,31.0,31.0,28.93,2.1
Souillac,75,MU,1598655529,73,-20.52,57.52,22.0,22.0,20.78,5.1
Taicheng,2,CN,1598655529,83,38.73,113.23,18.26,18.26,19.47,0.74
Tamandaré,97,BR,1598655529,86,-8.76,-35.1,23.74,23.74,26.03,2.89
Ilām,50,NP,1598655530,90,26.92,87.92,18.03,18.03,19.46,1.0
Katherine,6,AU,1598655530,63,-14.47,132.27,19.0,19.0,16.69,4.1
Jamālpur,43,BD,1598655530,88,24.92,89.93,26.47,26.47,30.91,2.24
Marathon,75,US,1598655530,69,44.9,-89.77,25.0,23.33,20.53,8.7
Troitsk,80,RU,1598655530,65,54.1,61.58,19.17,19.17,17.21,3.87
Ghotki,20,PK,1598655531,79,28.01,69.32,30.0,30.0,35.76,1.8
Robertsport,100,LR,1598655531,85,6.75,-11.37,24.98,24.98,25.74,5.84
Paso de Carrasco,75,UY,1598655531,93,-34.86,-56.05,16.0,15.0,14.78,2.6
Wagar,26,SD,1598655531,52,16.15,36.2,30.39,30.39,27.33,9.26
Río Cuarto,11,AR,1598655531,37,-33.13,-64.35,19.0,19.0,14.11,5.1
Bhag,3,PK,1598655531,48,29.04,67.82,33.66,33.66,35.64,3.22
Khovd,100,MN,1598655532,69,48.01,91.64,10.43,10.43,8.85,0.64
Major Isidoro,50,BR,1598655532,94,-9.53,-36.98,20.41,20.41,21.18,3.79
Sitka,75,US,1598655426,71,57.05,-135.33,14.0,14.0,9.75,5.7
Isangel,25,VU,1598655532,75,-19.55,169.27,25.85,25.85,25.93,5.91
Dovers,75,VC,1598655532,79,12.88,-61.18,29.0,29.0,31.07,6.2
Massaguet,47,TD,1598655533,80,12.48,15.44,25.1,25.1,27.34,3.07
Walvis Bay,0,NA,1598655235,71,-22.96,14.51,11.67,10.0,9.08,1.0
Pohrebyshche,0,UA,1598655533,84,49.49,29.26,12.74,12.74,12.06,1.07
Lohāru,12,IN,1598655533,63,28.45,75.82,28.93,28.93,31.85,1.93
Umluj,0,SA,1598655533,68,25.02,37.27,28.1,28.1,30.64,2.8
Parga,0,GR,1598655332,94,39.28,20.4,24.0,22.78,27.44,0.91
Uyuni,7,BO,1598655234,32,-20.46,-66.83,10.81,10.81,4.53,5.21
Cortez,40,US,1598655534,22,37.35,-108.59,31.0,25.56,22.73,6.7
Český Dub,100,CZ,1598655534,10,50.66,15.0,16.11,13.89,10.57,1.04
Salalah,90,OM,1598655246,100,17.02,54.09,24.0,24.0,28.77,1.5
Praia da Vitória,20,PT,1598655322,69,38.73,-27.07,25.0,25.0,26.49,2.43
Viedma,83,AR,1598655534,58,-40.81,-63.0,10.56,10.56,6.9,2.99
Berezovyy,45,RU,1598655535,54,51.67,135.7,15.53,15.53,14.2,0.67
Leshukonskoye,86,RU,1598655535,89,64.9,45.76,7.36,7.36,4.77,2.29
Anori,93,BR,1598655535,76,-3.77,-61.64,26.15,26.15,30.18,0.64
Nizhneangarsk,100,RU,1598655535,91,55.78,109.55,11.26,11.26,10.42,1.2
Ossora,92,RU,1598655431,75,59.24,163.07,11.28,11.28,6.08,6.44
Indramayu,51,ID,1598655535,74,-6.33,108.32,25.34,25.34,26.47,3.92
Gazojak,0,TM,1598655535,27,41.19,61.4,22.49,22.49,17.68,4.61
Lobito,86,AO,1598655536,84,-12.35,13.55,19.86,19.86,20.34,2.75
Porto-Novo,75,BJ,1598655389,83,6.5,2.6,26.0,26.0,26.84,6.2
Saint Anthony,1,US,1598655530,65,45.02,-93.22,27.22,24.44,25.06,5.7
Unnāo,40,IN,1598655536,88,26.53,80.5,27.0,27.0,30.8,3.6
Selikhino,46,RU,1598655536,77,50.37,137.5,13.53,13.53,10.09,4.82
Porto Belo,3,BR,1598655536,93,-27.16,-48.55,18.89,18.0,19.57,2.03
Kanturk,40,IE,1598655537,81,52.17,-8.9,11.67,9.44,5.72,6.2
Bukama,1,CD,1598655537,66,-9.2,25.85,22.98,22.98,24.85,0.32
Waddān,0,LY,1598655537,60,29.16,16.14,24.83,24.83,22.72,6.15
Sioux Lookout,40,CA,1598655290,77,50.1,-91.92,19.0,19.0,16.23,6.2
Zyryanka,97,RU,1598655538,72,65.75,150.85,7.83,7.83,3.97,3.4
La Rioja,90,ES,1598655539,55,42.25,-2.5,17.0,17.0,15.46,1.5
Paragominas,74,BR,1598655536,69,-2.97,-47.48,26.57,26.57,29.45,1.45
Suleja,40,NG,1598655541,94,9.18,7.18,23.0,23.0,26.64,1.5
Praia,75,CV,1598655541,88,14.92,-23.51,27.0,27.0,31.5,2.6
Benjamín Aceval,20,PY,1598655541,31,-24.97,-57.57,32.0,32.0,30.68,3.1
Henties Bay,0,NA,1598655542,89,-22.12,14.28,11.67,11.67,8.02,5.25
Yilan,75,TW,1598655542,88,24.76,121.75,28.89,28.0,35.61,0.5
Kutum,64,SD,1598655542,70,14.2,24.67,23.48,23.48,24.56,2.26
Samarai,99,PG,1598655542,86,-10.62,150.67,26.04,26.04,27.96,5.16
The Valley,20,AI,1598655542,70,18.22,-63.06,30.0,28.33,31.74,4.1
Guardiagrele,27,IT,1598655543,83,42.2,14.22,23.0,23.0,25.2,2.1
Yumen,100,CN,1598655543,49,40.28,97.2,14.66,14.66,10.47,4.12
Iracoubo,57,GF,1598655543,81,5.48,-53.2,26.79,26.79,30.58,2.27
Bairiki Village,20,KI,1598655361,66,1.33,172.98,30.0,30.0,32.69,3.6
Alappuzha,96,IN,1598655544,88,9.49,76.33,23.89,23.89,26.91,2.24
Yermakovskoye,100,RU,1598655544,94,53.28,92.4,12.38,12.38,11.23,2.29
Lafayette,1,US,1598655544,70,30.23,-92.07,30.0,29.0,33.13,2.6
Katangli,16,RU,1598655544,74,51.71,143.23,12.49,12.49,9.18,4.06
Krasnosel'kup,4,RU,1598655545,84,65.7,82.47,10.64,10.64,9.61,0.83
Hofn,23,IS,1598655545,61,64.25,-15.21,11.07,11.07,8.15,2.25
Okitipupa,100,NG,1598655545,91,6.5,4.78,23.48,23.48,27.1,1.48
Lompoc,1,US,1598655547,64,34.64,-120.46,21.67,18.0,15.91,7.2
Las Vegas,1,US,1598655513,8,36.17,-115.14,42.0,39.44,37.4,2.1
Pangody,88,RU,1598655549,83,65.85,74.49,13.03,13.03,11.93,1.72
Saint-François,80,FR,1598655360,82,46.42,3.91,15.0,15.0,14.13,2.1
Pangkalanbuun,36,ID,1598655551,97,-2.68,111.62,23.06,23.06,27.24,1.17
Raudeberg,3,NO,1598655551,84,61.99,5.14,13.33,13.33,7.99,7.97
Burnie,95,AU,1598655551,82,-41.07,145.92,11.67,11.67,9.5,2.68
Rome,40,US,1598655551,56,43.21,-75.46,23.0,21.11,22.67,0.53
La Santisima Trinidad,0,BO,1598655551,30,-14.83,-64.9,30.83,30.83,30.13,1.55
Wuda,100,CN,1598655552,31,39.5,106.71,21.82,21.82,16.56,5.61
Naze,40,JP,1598655311,89,28.37,129.48,29.0,28.0,32.69,4.6
Quelimane,0,MZ,1598655553,88,-17.88,36.89,23.0,22.78,25.92,1.5
Tevaitoa,4,PF,1598655554,77,-16.78,-151.5,24.87,24.87,22.7,8.76
Rendsburg,20,DE,1598655554,93,54.3,9.67,12.78,11.0,12.15,0.5
Caconda,0,AO,1598655554,76,-13.73,15.07,12.96,12.96,11.8,1.28
Callaway,75,US,1598655555,74,30.15,-85.57,30.56,29.44,32.65,5.1
Surab,8,PK,1598655555,34,28.49,66.26,19.65,19.65,17.85,0.51
Vostok,100,RU,1598655555,100,46.49,135.88,14.44,14.44,13.66,3.14
Fomboni,31,KM,1598655555,77,-12.28,43.74,24.56,24.56,25.33,4.36
Yatou,92,CN,1598655555,93,37.15,122.38,22.87,22.87,26.48,1.31
Khāsh,51,IR,1598655556,27,28.22,61.22,18.52,18.52,15.48,1.34
Linxia Chengguanzhen,100,CN,1598655556,81,35.6,103.21,18.52,18.52,19.77,0.63
Pacov,100,CZ,1598655556,91,49.47,15.0,15.56,15.56,16.54,0.45
Vila Velha,20,BR,1598655557,94,-20.33,-40.29,22.22,22.0,24.89,2.1
Yerbogachën,100,RU,1598655557,73,61.28,108.01,13.07,13.07,11.41,1.82
Kitgum,27,UG,1598655557,95,3.28,32.89,18.32,18.32,20.42,0.7
Fuyu,97,CN,1598655557,93,45.18,124.82,16.84,16.84,16.06,3.79
Nizwá,100,OM,1598655297,55,22.93,57.53,29.15,29.15,31.85,0.87
Sitges,100,ES,1598655558,82,41.24,1.81,23.33,20.56,24.5,0.89
Saldanha,44,ZA,1598655392,87,-33.01,17.94,8.0,8.0,5.61,2.1
Cockburn Town,40,TC,1598655290,66,21.46,-71.14,30.0,30.0,31.64,5.1
Eureka,1,US,1598655558,43,40.8,-124.16,22.22,17.78,17.5,1.34
Potsdam,100,DE,1598655558,72,52.4,13.07,19.44,16.67,16.85,2.4
Beringovskiy,100,RU,1598655513,85,63.05,179.32,10.5,10.5,5.29,6.81
Nakhon Si Thammarat,100,TH,1598655558,85,8.43,99.97,25.13,25.13,29.1,1.37
São José do Calçado,22,BR,1598655559,92,-21.03,-41.65,18.9,18.9,20.6,1.3
Bolobo,12,CD,1598655559,84,-2.17,16.23,22.56,22.56,25.35,1.1
Bodaybo,100,RU,1598655559,67,57.85,114.19,15.29,15.29,14.87,0.36
Macao,20,MO,1598655559,88,22.2,113.55,28.0,28.0,33.89,1.5
San Jose,75,US,1598655327,47,37.34,-121.89,28.89,25.0,25.86,3.6
Noumea,90,NC,1598655386,68,-22.28,166.46,22.0,22.0,19.58,6.2
Quaraí,23,BR,1598655549,92,-30.39,-56.45,19.79,19.79,20.81,2.81
Aquiraz,44,BR,1598655498,78,-3.9,-38.39,26.0,26.0,26.29,6.2
Kavaratti,100,IN,1598655561,77,10.57,72.64,27.61,27.61,29.35,5.17
Kapoeta,72,SS,1598655561,84,4.77,33.59,23.14,23.14,26.23,1.06
Marabu,40,MY,1598655561,100,4.41,114.01,24.0,23.89,29.04,1.0
Klichka,100,RU,1598655562,89,50.45,118.0,10.13,10.13,7.17,3.71
Brooks,0,CA,1598655390,26,50.58,-111.89,26.67,26.67,23.78,2.68
Bishop Auckland,95,GB,1598655562,89,54.66,-1.68,11.67,9.44,9.41,1.79
Rosarito,40,MX,1598655562,73,32.33,-117.03,26.0,25.0,24.75,6.2
Karaton,20,ID,1598655562,83,-6.34,106.1,26.11,25.0,28.19,2.6
Andros Town,20,BS,1598655562,66,24.7,-77.77,31.0,31.0,33.88,4.1
Tual,18,ID,1598655563,82,-5.67,132.75,26.31,26.31,24.38,10.24
Bundaberg,0,AU,1598655563,59,-24.85,152.35,18.0,18.0,14.79,4.6
Isla,100,PH,1598655563,78,15.89,120.3,27.07,27.07,31.77,0.69
Tapes,91,BR,1598655563,92,-30.67,-51.4,17.41,17.41,17.78,2.36
Wilmington,1,US,1598655563,62,34.23,-77.94,32.0,29.44,31.47,5.7
Araouane,28,ML,1598655564,51,18.9,-3.53,31.75,31.75,28.89,9.6
Moose Factory,1,CA,1598655564,82,51.26,-80.61,14.0,14.0,9.98,6.2
San Pedro de Macorís,11,DO,1598655564,80,18.46,-69.3,30.56,30.0,36.6,1.34
Kingisepp,98,RU,1598655276,97,59.37,28.61,11.11,11.11,10.28,1.51
Ca Mau,54,VN,1598655564,88,9.18,105.15,25.59,25.59,29.84,1.79
Ginir,17,ET,1598655565,81,7.13,40.7,15.96,15.96,14.43,3.38
Beitbridge,0,ZW,1598655565,25,-22.22,30.0,23.58,23.58,18.93,4.35
Pathein,45,MM,1598655565,87,16.78,94.73,25.63,25.63,29.36,2.41
Liaocheng,0,CN,1598655565,81,36.44,115.96,23.54,23.54,26.09,1.7
Ocampo,71,MX,1598655565,51,21.65,-101.5,22.46,22.46,20.47,3.65
Montes Claros,4,BR,1598655566,36,-16.73,-43.86,25.0,25.0,21.18,5.1
Goiânia,56,BR,1598655532,23,-16.68,-49.25,28.0,28.0,23.99,4.1
Taihe,61,CN,1598655566,90,30.87,105.38,24.48,24.48,27.82,2.5
Namatanai,73,PG,1598655566,70,-3.67,152.43,27.9,27.9,30.69,2.66
São Félix do Xingu,83,BR,1598655566,44,-6.64,-51.99,27.88,27.88,28.84,0.68
Necochea,47,AR,1598655567,85,-38.55,-58.74,10.56,10.56,9.51,0.89
Coyhaique,75,CL,1598655496,64,-45.58,-72.07,1.0,1.0,-2.31,1.0
Bose,93,IT,1598655567,96,45.46,8.01,20.0,18.89,22.28,0.45
Barranca,15,PE,1598655292,84,-10.75,-77.77,16.58,16.58,14.59,4.58
Kholmy,45,UA,1598655567,96,51.87,32.6,12.85,12.85,11.98,2.23
Lānja,100,IN,1598655567,92,16.85,73.55,23.71,23.71,27.84,1.07
Vera Cruz,40,BR,1598655568,58,-12.63,-41.03,21.28,21.28,20.3,2.59
Bathsheba,40,BB,1598655524,70,13.22,-59.52,29.0,29.0,27.71,9.3
Dāmghān,0,IR,1598655569,35,36.17,54.35,18.39,18.39,16.38,0.64
Kruisfontein,1,ZA,1598655569,84,-34.0,24.73,10.0,10.0,9.08,0.45
Umm Hājar,99,TD,1598655569,79,13.3,19.7,25.69,25.69,26.98,4.7
Miroslovești,42,RO,1598655569,21,47.15,26.65,13.33,13.33,9.61,1.11
Kununurra,7,AU,1598655570,23,-15.77,128.73,25.0,25.0,19.41,5.7
Brownwood,1,US,1598655434,20,31.71,-98.99,40.0,40.0,38.68,3.1
Matagami,75,CA,1598655570,55,49.75,-77.63,17.0,17.0,16.02,0.7
Chuzhou,17,CN,1598655570,85,32.32,118.3,26.67,26.67,30.56,2.7
Rocha,91,UY,1598655350,95,-34.48,-54.33,14.04,14.04,13.14,2.73
Bac Lieu,65,VN,1598655572,84,9.29,105.72,26.75,26.75,29.82,3.77
Grand Gaube,4,MU,1598655304,79,-20.01,57.66,20.56,20.56,21.92,1.34
Half Moon Bay,40,US,1598655405,64,37.46,-122.43,24.44,16.67,21.2,4.1
Agüimes,20,ES,1598655572,69,27.91,-15.45,25.56,24.0,17.32,14.9
Clonakilty,40,IE,1598655347,81,51.62,-8.87,11.67,11.0,6.58,6.2
Nombre de Dios,90,MX,1598655572,37,23.85,-104.23,28.0,28.0,26.43,3.1
Prince Rupert,75,CA,1598655572,72,54.32,-130.32,15.0,15.0,12.52,3.6
Kilindoni,81,TZ,1598655573,81,-7.91,39.67,24.49,24.49,24.51,5.95
Mayumba,100,GA,1598655574,89,-3.43,10.66,23.51,23.51,25.13,4.09
Goregaon,100,IN,1598655575,89,18.17,73.3,24.28,24.28,28.19,1.39
